as_of_date,rank,team,pitcher,rating,opponent
2026-07-18,1,Detroit Tigers,Tarik Skubal,1600.8,Los Angeles Angels
2026-07-18,2,San Francisco Giants,Logan Webb,1585.6,Seattle Mariners
2026-07-18,3,Toronto Blue Jays,Shane Bieber,1567.0,Chicago White Sox
2026-07-18,4,Cleveland Guardians,Gavin Williams,1539.2,Pittsburgh Pirates
2026-07-18,5,Seattle Mariners,Bryan Woo,1537.9,San Francisco Giants
2026-07-18,6,Philadelphia Phillies,Jesús Luzardo,1528.6,New York Mets
2026-07-18,7,Colorado Rockies,Tomoyuki Sugano,1517.6,Cincinnati Reds
2026-07-18,8,Chicago Cubs,Matthew Boyd,1517.4,Minnesota Twins
2026-07-18,9,Washington Nationals,Zack Littell,1511.2,Athletics
2026-07-18,10,Athletics,J.T. Ginn,1510.1,Washington Nationals
2026-07-18,11,Chicago White Sox,Davis Martin,1507.7,Toronto Blue Jays
2026-07-18,12,Miami Marlins,Max Meyer,1507.4,Milwaukee Brewers
2026-07-18,13,St. Louis Cardinals,Dustin May,1506.7,Arizona Diamondbacks
2026-07-18,14,Milwaukee Brewers,Shane Drohan,1505.7,Miami Marlins
2026-07-18,15,Kansas City Royals,Randy Dobnak,1505.0,San Diego Padres
2026-07-18,16,Tampa Bay Rays,Ian Seymour,1503.4,Boston Red Sox
2026-07-18,17,Baltimore Orioles,Trevor Rogers,1503.3,Houston Astros
2026-07-18,18,Cincinnati Reds,Rhett Lowder,1497.0,Colorado Rockies
2026-07-18,19,Los Angeles Dodgers,Emmet Sheehan,1496.6,New York Yankees
2026-07-18,20,Los Angeles Angels,Grayson Rodriguez,1492.1,Detroit Tigers
2026-07-18,21,Pittsburgh Pirates,Jared Jones,1490.8,Cleveland Guardians
2026-07-18,22,New York Yankees,Ryan Weathers,1488.7,Los Angeles Dodgers
2026-07-18,23,Houston Astros,Spencer Arrighetti,1488.3,Baltimore Orioles
2026-07-18,24,Minnesota Twins,Taj Bradley,1485.5,Chicago Cubs
2026-07-18,25,Boston Red Sox,Patrick Sandoval,1484.9,Tampa Bay Rays
2026-07-18,26,Arizona Diamondbacks,Brandon Pfaadt,1484.2,St. Louis Cardinals
2026-07-18,27,San Diego Padres,Griffin Canning,1483.9,Kansas City Royals
2026-07-18,28,Texas Rangers,MacKenzie Gore,1474.3,Atlanta Braves
2026-07-18,29,Cleveland Guardians,Logan Allen,1473.9,Pittsburgh Pirates
2026-07-18,30,New York Mets,Sean Manaea,1471.3,Philadelphia Phillies
2026-07-18,31,Atlanta Braves,Owen Murphy,,Texas Rangers
